Feldtyp;System;Koords;Detail
Nebel;Crabs-Wirbel;100|19;Nebel aus Quelltext
Nebel;Crabs-Wirbel;100|20;Nebel passierbar
Nebel;Crabs-Wirbel;100|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;100|22;Nebel passierbar
Nebel;Crabs-Wirbel;100|23;Nebel passierbar
Nebel;Crabs-Wirbel;100|24;Nebel passierbar
Nebel;Crabs-Wirbel;100|25;Nebel passierbar
Nebel;Crabs-Wirbel;100|26;Nebel passierbar
Nebel;Crabs-Wirbel;53|23;Nebel passierbar
Nebel;Crabs-Wirbel;53|24;Nebel passierbar
Nebel;Crabs-Wirbel;53|25;Nebel aus Quelltext
Nebel;Crabs-Wirbel;53|26;Nebel passierbar
Nebel;Crabs-Wirbel;53|27;Nebel passierbar
Nebel;Crabs-Wirbel;54|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;54|22;Nebel passierbar
Nebel;Crabs-Wirbel;54|23;Nebel passierbar
Nebel;Crabs-Wirbel;54|24;Nebel passierbar
Nebel;Crabs-Wirbel;54|25;Nebel passierbar
Nebel;Crabs-Wirbel;54|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;54|27;Nebel passierbar
Nebel;Crabs-Wirbel;54|28;Nebel passierbar
Nebel;Crabs-Wirbel;54|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;54|30;Nebel passierbar
Nebel;Crabs-Wirbel;54|31;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|20;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|22;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|23;Nebel passierbar
Nebel;Crabs-Wirbel;55|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|25;Nebel passierbar
Nebel;Crabs-Wirbel;55|26;Nebel passierbar
Nebel;Crabs-Wirbel;55|27;Nebel passierbar
Nebel;Crabs-Wirbel;55|28;Nebel passierbar
Nebel;Crabs-Wirbel;55|29;Nebel passierbar
Nebel;Crabs-Wirbel;55|30;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|31;Nebel aus Quelltext
Nebel;Crabs-Wirbel;55|32;Nebel passierbar
Nebel;Crabs-Wirbel;55|33;Nebel passierbar
Nebel;Crabs-Wirbel;56|19;Nebel aus Quelltext
Nebel;Crabs-Wirbel;56|20;Nebel aus Quelltext
Nebel;Crabs-Wirbel;56|21;Nebel passierbar
Nebel;Crabs-Wirbel;56|22;Nebel aus Quelltext
Nebel;Crabs-Wirbel;56|23;Nebel passierbar
Nebel;Crabs-Wirbel;56|24;Nebel passierbar
Nebel;Crabs-Wirbel;56|25;Nebel passierbar
Nebel;Crabs-Wirbel;56|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;56|27;Nebel passierbar
Nebel;Crabs-Wirbel;56|28;Nebel passierbar
Nebel;Crabs-Wirbel;56|29;Nebel passierbar
Nebel;Crabs-Wirbel;56|30;Nebel passierbar
Nebel;Crabs-Wirbel;56|31;Nebel passierbar
Nebel;Crabs-Wirbel;56|32;Nebel passierbar
Nebel;Crabs-Wirbel;56|33;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|19;Nebel passierbar
Nebel;Crabs-Wirbel;57|20;Nebel passierbar
Nebel;Crabs-Wirbel;57|21;Nebel passierbar
Nebel;Crabs-Wirbel;57|22;Nebel passierbar
Nebel;Crabs-Wirbel;57|23;Nebel passierbar
Nebel;Crabs-Wirbel;57|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;57|26;Nebel passierbar
Nebel;Crabs-Wirbel;57|27;Nebel passierbar
Nebel;Crabs-Wirbel;57|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|30;Nebel unpassierbar
Nebel;Crabs-Wirbel;57|31;Nebel passierbar
Nebel;Crabs-Wirbel;57|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|33;Nebel aus Quelltext
Nebel;Crabs-Wirbel;57|34;Nebel passierbar
Nebel;Crabs-Wirbel;58|18;Nebel passierbar
Nebel;Crabs-Wirbel;58|19;Nebel passierbar
Nebel;Crabs-Wirbel;58|20;Nebel aus Quelltext
Nebel;Crabs-Wirbel;58|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;58|22;Nebel passierbar
Nebel;Crabs-Wirbel;58|23;Nebel passierbar
Nebel;Crabs-Wirbel;58|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;58|25;Nebel passierbar
Nebel;Crabs-Wirbel;58|26;Nebel passierbar
Nebel;Crabs-Wirbel;58|27;Nebel passierbar
Nebel;Crabs-Wirbel;58|28;Nebel passierbar
Nebel;Crabs-Wirbel;58|29;Nebel passierbar
Nebel;Crabs-Wirbel;58|30;Nebel aus Quelltext
Nebel;Crabs-Wirbel;58|31;Nebel unpassierbar
Nebel;Crabs-Wirbel;58|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;58|33;Nebel passierbar
Nebel;Crabs-Wirbel;58|34;Nebel passierbar
Nebel;Crabs-Wirbel;58|35;Nebel passierbar
Nebel;Crabs-Wirbel;59|19;Nebel passierbar
Nebel;Crabs-Wirbel;59|20;Nebel passierbar
Nebel;Crabs-Wirbel;59|21;Nebel passierbar
Nebel;Crabs-Wirbel;59|22;Nebel passierbar
Nebel;Crabs-Wirbel;59|23;Nebel passierbar
Nebel;Crabs-Wirbel;59|24;Nebel passierbar
Nebel;Crabs-Wirbel;59|25;Nebel passierbar
Nebel;Crabs-Wirbel;59|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;59|27;Nebel passierbar
Nebel;Crabs-Wirbel;59|28;Nebel passierbar
Nebel;Crabs-Wirbel;59|29;Nebel passierbar
Nebel;Crabs-Wirbel;59|30;Nebel passierbar
Nebel;Crabs-Wirbel;59|31;Nebel unpassierbar
Nebel;Crabs-Wirbel;59|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;59|33;Nebel passierbar
Nebel;Crabs-Wirbel;59|34;Nebel passierbar
Nebel;Crabs-Wirbel;59|35;Nebel passierbar
Nebel;Crabs-Wirbel;60|18;Nebel unpassierbar
Nebel;Crabs-Wirbel;60|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;60|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;60|21;Nebel passierbar
Nebel;Crabs-Wirbel;60|22;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|23;Nebel passierbar
Nebel;Crabs-Wirbel;60|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|25;Nebel passierbar
Nebel;Crabs-Wirbel;60|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|27;Nebel passierbar
Nebel;Crabs-Wirbel;60|28;Nebel passierbar
Nebel;Crabs-Wirbel;60|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|30;Nebel passierbar
Nebel;Crabs-Wirbel;60|31;Nebel passierbar
Nebel;Crabs-Wirbel;60|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|33;Nebel aus Quelltext
Nebel;Crabs-Wirbel;60|34;Nebel passierbar
Nebel;Crabs-Wirbel;60|35;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|18;Nebel passierbar
Nebel;Crabs-Wirbel;61|19;Nebel passierbar
Nebel;Crabs-Wirbel;61|20;Nebel passierbar
Nebel;Crabs-Wirbel;61|21;Nebel passierbar
Nebel;Crabs-Wirbel;61|22;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|23;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|25;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|27;Nebel passierbar
Nebel;Crabs-Wirbel;61|28;Nebel passierbar
Nebel;Crabs-Wirbel;61|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|30;Nebel passierbar
Nebel;Crabs-Wirbel;61|31;Nebel passierbar
Nebel;Crabs-Wirbel;61|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|33;Nebel passierbar
Nebel;Crabs-Wirbel;61|34;Nebel aus Quelltext
Nebel;Crabs-Wirbel;61|35;Nebel passierbar
Nebel;Crabs-Wirbel;62|18;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|19;Nebel passierbar
Nebel;Crabs-Wirbel;62|20;Nebel passierbar
Nebel;Crabs-Wirbel;62|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;62|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;62|27;Nebel aus Quelltext
Nebel;Crabs-Wirbel;62|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;62|30;Nebel aus Quelltext
Nebel;Crabs-Wirbel;62|31;Nebel passierbar
Nebel;Crabs-Wirbel;62|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;62|33;Nebel passierbar
Nebel;Crabs-Wirbel;62|34;Nebel passierbar
Nebel;Crabs-Wirbel;62|35;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|16;Nebel passierbar
Nebel;Crabs-Wirbel;63|17;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;63|20;Nebel passierbar
Nebel;Crabs-Wirbel;63|21;Nebel passierbar
Nebel;Crabs-Wirbel;63|22;Nebel passierbar
Nebel;Crabs-Wirbel;63|23;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|25;Nebel passierbar
Nebel;Crabs-Wirbel;63|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;63|27;Nebel passierbar
Nebel;Crabs-Wirbel;63|28;Nebel passierbar
Nebel;Crabs-Wirbel;63|29;Nebel passierbar
Nebel;Crabs-Wirbel;63|30;Nebel passierbar
Nebel;Crabs-Wirbel;63|31;Nebel passierbar
Nebel;Crabs-Wirbel;63|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;63|33;Nebel passierbar
Nebel;Crabs-Wirbel;63|34;Nebel passierbar
Nebel;Crabs-Wirbel;63|35;Nebel passierbar
Nebel;Crabs-Wirbel;64|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;64|16;Nebel aus Quelltext
Nebel;Crabs-Wirbel;64|17;Nebel passierbar
Nebel;Crabs-Wirbel;64|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;64|19;Nebel passierbar
Nebel;Crabs-Wirbel;64|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;64|21;Nebel passierbar
Nebel;Crabs-Wirbel;64|22;Nebel passierbar
Nebel;Crabs-Wirbel;64|23;Nebel passierbar
Nebel;Crabs-Wirbel;64|24;Nebel passierbar
Nebel;Crabs-Wirbel;64|25;Nebel passierbar
Nebel;Crabs-Wirbel;64|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;64|27;Nebel passierbar
Nebel;Crabs-Wirbel;64|28;Nebel passierbar
Nebel;Crabs-Wirbel;64|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;64|30;Nebel passierbar
Nebel;Crabs-Wirbel;64|31;Nebel aus Quelltext
Nebel;Crabs-Wirbel;64|32;Nebel passierbar
Nebel;Crabs-Wirbel;64|33;Nebel passierbar
Nebel;Crabs-Wirbel;64|34;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|14;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|16;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|17;Nebel passierbar
Nebel;Crabs-Wirbel;65|18;Nebel passierbar
Nebel;Crabs-Wirbel;65|19;Nebel passierbar
Nebel;Crabs-Wirbel;65|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|25;Nebel passierbar
Nebel;Crabs-Wirbel;65|26;Nebel passierbar
Nebel;Crabs-Wirbel;65|27;Nebel unpassierbar
Nebel;Crabs-Wirbel;65|28;Nebel passierbar
Nebel;Crabs-Wirbel;65|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|30;Nebel passierbar
Nebel;Crabs-Wirbel;65|31;Nebel passierbar
Nebel;Crabs-Wirbel;65|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;65|33;Nebel aus Quelltext
Nebel;Crabs-Wirbel;66|14;Nebel passierbar
Nebel;Crabs-Wirbel;66|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;66|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|17;Nebel aus Quelltext
Nebel;Crabs-Wirbel;66|18;Nebel passierbar
Nebel;Crabs-Wirbel;66|19;Nebel passierbar
Nebel;Crabs-Wirbel;66|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;66|26;Nebel passierbar
Nebel;Crabs-Wirbel;66|27;Nebel passierbar
Nebel;Crabs-Wirbel;66|28;Nebel passierbar
Nebel;Crabs-Wirbel;66|29;Nebel passierbar
Nebel;Crabs-Wirbel;66|30;Nebel aus Quelltext
Nebel;Crabs-Wirbel;66|31;Nebel aus Quelltext
Nebel;Crabs-Wirbel;66|32;Nebel passierbar
Nebel;Crabs-Wirbel;66|33;Nebel aus Quelltext
Nebel;Crabs-Wirbel;67|14;Nebel passierbar
Nebel;Crabs-Wirbel;67|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;67|16;Nebel aus Quelltext
Nebel;Crabs-Wirbel;67|17;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;67|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;67|27;Nebel passierbar
Nebel;Crabs-Wirbel;67|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;67|29;Nebel passierbar
Nebel;Crabs-Wirbel;67|30;Nebel passierbar
Nebel;Crabs-Wirbel;67|31;Nebel passierbar
Nebel;Crabs-Wirbel;68|13;Nebel passierbar
Nebel;Crabs-Wirbel;68|14;Nebel passierbar
Nebel;Crabs-Wirbel;68|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;68|16;Nebel aus Quelltext
Nebel;Crabs-Wirbel;68|17;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|18;Nebel passierbar
Nebel;Crabs-Wirbel;68|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;68|27;Nebel passierbar
Nebel;Crabs-Wirbel;68|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;68|29;Nebel passierbar
Nebel;Crabs-Wirbel;68|30;Nebel aus Quelltext
Nebel;Crabs-Wirbel;69|13;Nebel passierbar
Nebel;Crabs-Wirbel;69|14;Nebel passierbar
Nebel;Crabs-Wirbel;69|15;Nebel passierbar
Nebel;Crabs-Wirbel;69|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|17;Nebel passierbar
Nebel;Crabs-Wirbel;69|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;69|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;69|27;Nebel aus Quelltext
Nebel;Crabs-Wirbel;69|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;69|29;Nebel aus Quelltext
Nebel;Crabs-Wirbel;70|13;Nebel passierbar
Nebel;Crabs-Wirbel;70|14;Nebel passierbar
Nebel;Crabs-Wirbel;70|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;70|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|17;Nebel aus Quelltext
Nebel;Crabs-Wirbel;70|18;Nebel passierbar
Nebel;Crabs-Wirbel;70|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;70|27;Nebel passierbar
Nebel;Crabs-Wirbel;70|28;Nebel aus Quelltext
Nebel;Crabs-Wirbel;71|12;Nebel passierbar
Nebel;Crabs-Wirbel;71|13;Nebel passierbar
Nebel;Crabs-Wirbel;71|14;Nebel aus Quelltext
Nebel;Crabs-Wirbel;71|15;Nebel passierbar
Nebel;Crabs-Wirbel;71|16;Nebel passierbar
Nebel;Crabs-Wirbel;71|17;Nebel passierbar
Nebel;Crabs-Wirbel;71|18;Nebel passierbar
Nebel;Crabs-Wirbel;71|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|26;Nebel unpassierbar
Nebel;Crabs-Wirbel;71|27;Nebel aus Quelltext
Nebel;Crabs-Wirbel;72|13;Nebel aus Quelltext
Nebel;Crabs-Wirbel;72|14;Nebel aus Quelltext
Nebel;Crabs-Wirbel;72|15;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|16;Nebel aus Quelltext
Nebel;Crabs-Wirbel;72|17;Nebel passierbar
Nebel;Crabs-Wirbel;72|18;Nebel passierbar
Nebel;Crabs-Wirbel;72|19;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;72|26;Nebel passierbar
Nebel;Crabs-Wirbel;73|13;Nebel passierbar
Nebel;Crabs-Wirbel;73|14;Nebel aus Quelltext
Nebel;Crabs-Wirbel;73|15;Nebel passierbar
Nebel;Crabs-Wirbel;73|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|17;Nebel passierbar
Nebel;Crabs-Wirbel;73|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;73|19;Nebel passierbar
Nebel;Crabs-Wirbel;73|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|25;Nebel unpassierbar
Nebel;Crabs-Wirbel;73|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;74|13;Nebel passierbar
Nebel;Crabs-Wirbel;74|14;Nebel aus Quelltext
Nebel;Crabs-Wirbel;74|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;74|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|17;Nebel passierbar
Nebel;Crabs-Wirbel;74|18;Nebel passierbar
Nebel;Crabs-Wirbel;74|19;Nebel passierbar
Nebel;Crabs-Wirbel;74|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|21;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;74|25;Nebel passierbar
Nebel;Crabs-Wirbel;74|26;Nebel passierbar
Nebel;Crabs-Wirbel;74|39;Nebel passierbar
Nebel;Crabs-Wirbel;75|13;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|14;Nebel unpassierbar
Nebel;Crabs-Wirbel;75|15;Nebel unpassierbar
Nebel;Crabs-Wirbel;75|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;75|17;Nebel passierbar
Nebel;Crabs-Wirbel;75|18;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|19;Nebel passierbar
Nebel;Crabs-Wirbel;75|20;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;75|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;75|24;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|25;Nebel passierbar
Nebel;Crabs-Wirbel;75|34;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|35;Nebel passierbar
Nebel;Crabs-Wirbel;75|36;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|37;Nebel passierbar
Nebel;Crabs-Wirbel;75|38;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|39;Nebel passierbar
Nebel;Crabs-Wirbel;75|40;Nebel aus Quelltext
Nebel;Crabs-Wirbel;75|41;Nebel passierbar
Nebel;Crabs-Wirbel;76|13;Nebel aus Quelltext
Nebel;Crabs-Wirbel;76|14;Nebel passierbar
Nebel;Crabs-Wirbel;76|15;Nebel aus Quelltext
Nebel;Crabs-Wirbel;76|16;Nebel unpassierbar
Nebel;Crabs-Wirbel;76|17;Nebel passierbar
Nebel;Crabs-Wirbel;76|18;Nebel passierbar
Nebel;Crabs-Wirbel;76|19;Nebel passierbar
Nebel;Crabs-Wirbel;76|20;Nebel passierbar
Nebel;Crabs-Wirbel;76|21;Nebel passierbar
Nebel;Crabs-Wirbel;76|22;Nebel passierbar
Nebel;Crabs-Wirbel;76|23;Nebel passierbar
Nebel;Crabs-Wirbel;76|24;Nebel passierbar
Nebel;Crabs-Wirbel;76|25;Nebel passierbar
Nebel;Crabs-Wirbel;76|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;76|33;Nebel passierbar
Nebel;Crabs-Wirbel;76|34;Nebel aus Quelltext
Nebel;Crabs-Wirbel;76|35;Nebel passierbar
Nebel;Crabs-Wirbel;76|36;Nebel passierbar
Nebel;Crabs-Wirbel;76|37;Nebel passierbar
Nebel;Crabs-Wirbel;76|38;Nebel aus Quelltext
Nebel;Crabs-Wirbel;76|39;Nebel passierbar
Nebel;Crabs-Wirbel;76|40;Nebel passierbar
Nebel;Crabs-Wirbel;76|41;Nebel passierbar
Nebel;Crabs-Wirbel;76|42;Nebel passierbar
Nebel;Crabs-Wirbel;76|43;Nebel passierbar
Nebel;Crabs-Wirbel;77|13;Nebel passierbar
Nebel;Crabs-Wirbel;77|14;Nebel passierbar
Nebel;Crabs-Wirbel;77|15;Nebel passierbar
Nebel;Crabs-Wirbel;77|16;Nebel passierbar
Nebel;Crabs-Wirbel;77|17;Nebel passierbar
Nebel;Crabs-Wirbel;77|18;Nebel passierbar
Nebel;Crabs-Wirbel;77|19;Nebel passierbar
Nebel;Crabs-Wirbel;77|20;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|21;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|22;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|23;Nebel passierbar
Nebel;Crabs-Wirbel;77|24;Nebel unpassierbar
Nebel;Crabs-Wirbel;77|25;Nebel passierbar
Nebel;Crabs-Wirbel;77|26;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|31;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|33;Nebel passierbar
Nebel;Crabs-Wirbel;77|34;Nebel passierbar
Nebel;Crabs-Wirbel;77|35;Nebel passierbar
Nebel;Crabs-Wirbel;77|36;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|37;Nebel passierbar
Nebel;Crabs-Wirbel;77|38;Nebel passierbar
Nebel;Crabs-Wirbel;77|39;Nebel passierbar
Nebel;Crabs-Wirbel;77|40;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|41;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|42;Nebel aus Quelltext
Nebel;Crabs-Wirbel;77|43;Nebel passierbar
Nebel;Crabs-Wirbel;77|44;Nebel passierbar
Nebel;Crabs-Wirbel;78|12;Nebel passierbar
Nebel;Crabs-Wirbel;78|13;Nebel aus Quelltext
Nebel;Crabs-Wirbel;78|14;Nebel passierbar
Nebel;Crabs-Wirbel;78|15;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|16;Nebel passierbar
Nebel;Crabs-Wirbel;78|17;Nebel passierbar
Nebel;Crabs-Wirbel;78|18;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|19;Nebel aus Quelltext
Nebel;Crabs-Wirbel;78|20;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|21;Nebel passierbar
Nebel;Crabs-Wirbel;78|22;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|23;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|24;Nebel passierbar
Nebel;Crabs-Wirbel;78|25;Nebel passierbar
Nebel;Crabs-Wirbel;78|26;Nebel passierbar
Nebel;Crabs-Wirbel;78|31;Nebel passierbar
Nebel;Crabs-Wirbel;78|32;Nebel aus Quelltext
Nebel;Crabs-Wirbel;78|33;Nebel passierbar
Nebel;Crabs-Wirbel;78|34;Nebel passierbar
Nebel;Crabs-Wirbel;78|35;Nebel aus Quelltext
Nebel;Crabs-Wirbel;78|36;Nebel unpassierbar
Nebel;Crabs-Wirbel;78|37;Nebel unpassierbar
